"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10"
"p11387",49,82,70,45,58,55,46,39,41,36
"p11388",46,69,68,56,62,52,58,31,35,34
"p11389",50,71,82,75,63,70,53,49,47,26
"p11390",67,75,57,67,65,57,46,39,39,47
"p11391",52,92,72,64,58,45,55,38,44,49
"p11392",78,80,68,57,65,62,48,45,42,40
"p11393",65,86,49,60,55,54,47,41,35,36
"p11394",48,84,75,65,68,56,38,52,34,35
"p11395",70,84,82,61,59,86,47,39,35,40
"p11396",53,79,71,67,55,47,45,46,41,33
"p11397",51,87,70,66,57,57,55,37,38,39
"p11398",62,81,79,75,76,53,46,48,47,53
"p11399",46,77,79,52,66,48,51,47,36,34
"p11400",59,71,82,52,47,63,59,49,45,33
"p11401",65,81,68,71,58,71,39,48,39,46
"p11402",59,87,74,73,76,37,60,48,37,42
"p11403",63,80,72,62,50,67,40,41,51,25
"p11404",66,74,72,72,60,61,55,41,39,34
"p11405",70,85,65,57,56,62,43,35,44,31
"p11406",50,84,75,62,81,50,54,45,36,38
"p11407",77,91,81,53,57,52,41,54,50,40
"p11408",48,79,70,67,53,65,46,34,39,32
"p11409",57,86,72,77,59,62,45,46,34,39
"p11410",66,76,81,54,84,59,54,50,40,30
"p11411",61,65,59,66,68,44,61,42,34,38
"p11412",70,87,78,71,62,51,49,45,43,28
"p11413",51,75,80,71,60,61,52,49,47,34
"p11414",70,98,76,77,68,52,42,38,48,32
"p11415",69,79,86,59,58,54,51,38,35,29
"p11416",51,77,80,63,57,45,54,50,34,32
"p11417",67,89,78,78,46,45,45,46,50,33
"p11418",46,91,76,75,61,56,49,48,38,32
"p11419",45,79,74,80,87,61,50,48,36,27
"p11420",55,77,77,75,67,46,48,49,34,32
"p11421",61,86,69,63,44,61,57,58,46,36
"p11422",61,84,68,59,60,63,64,49,37,32
"p11423",62,80,63,62,75,70,51,42,36,40
"p11424",68,94,60,55,57,65,53,49,41,54
"p11425",63,65,61,51,61,57,46,32,33,37
"p11426",64,86,72,68,49,55,48,61,40,43
"p11427",60,89,88,62,53,61,63,56,42,39
"p11428",73,81,69,69,51,55,52,49,47,41
"p11429",55,87,62,65,69,55,40,37,38,28
"p11430",52,72,71,54,52,58,50,51,36,42
"p11431",68,79,75,61,58,53,42,49,54,41
"p11432",60,89,67,57,56,62,62,43,36,33
"p11433",73,79,71,84,53,54,50,40,42,33
"p11434",52,83,75,77,55,64,51,46,38,35
"p11435",67,81,70,72,48,67,45,53,39,41
"p11436",51,78,81,83,65,63,52,41,38,38
"p11437",56,84,76,68,64,48,44,50,36,36
"p11438",59,84,78,73,57,67,41,38,35,31
"p11439",64,83,76,53,68,58,60,47,29,42
"p11440",55,76,78,68,64,51,40,49,54,32
"p11441",60,80,70,57,77,61,43,45,39,41
"p11442",56,74,50,59,55,51,50,39,48,43
"p11443",57,83,80,73,48,59,54,49,40,42
"p11444",49,75,66,64,40,52,55,40,32,45
"p11445",68,77,80,61,74,55,48,45,55,32
"p11446",54,85,77,73,53,46,47,42,43,45
"p11447",66,95,62,44,60,55,46,56,51,34
"p11448",44,73,69,80,65,46,47,42,33,45
"p11449",66,97,65,74,56,65,48,44,36,44
"p11450",67,92,76,71,65,55,63,33,38,51
"p11451",60,66,84,55,57,53,41,48,35,48
"p11452",49,81,58,57,49,59,60,50,39,46
"p11453",60,61,71,60,55,52,40,52,34,29
"p11454",57,74,60,52,65,60,45,50,31,44
"p11455",58,77,87,69,51,49,56,52,27,31
"p11456",56,79,72,68,58,48,44,38,44,36
"p11457",60,78,79,65,50,59,60,48,46,49
"p11458",64,91,78,65,59,57,67,39,39,37
"p11459",45,83,83,53,58,54,49,43,33,37
"p11460",61,83,78,62,64,67,35,43,43,40
"p11461",60,84,73,47,61,55,50,46,38,38
"p11462",55,89,79,64,67,58,59,44,42,42
"p11463",51,72,65,62,54,60,60,48,41,35
"p11464",69,78,66,72,47,58,48,51,38,30
"p11465",76,74,69,68,48,54,56,46,42,44
"p11466",66,86,75,51,51,58,48,45,43,43
"p11467",54,78,74,65,62,59,40,41,50,42
"p11468",51,81,73,63,67,52,44,46,40,26
"p11469",56,82,91,66,50,63,45,53,51,34
"p11470",60,94,73,84,53,49,56,40,41,35
"p11471",63,98,66,48,56,46,45,47,37,42
"p11472",47,95,71,66,53,47,40,42,41,38
"p11473",56,73,79,64,76,60,63,41,39,28
"p11474",46,71,73,73,48,56,57,40,37,36
"p11475",61,86,71,64,54,53,49,52,35,26
"p11476",58,72,64,71,52,53,54,39,48,38
"p11477",66,89,76,59,58,58,37,53,36,35
"p11478",69,86,70,74,74,40,63,53,36,40
"p11479",61,71,65,66,53,55,47,44,42,32
"p11480",55,86,81,63,62,55,50,48,36,36
"p11481",63,75,58,66,66,49,66,48,36,38
"p11482",57,84,82,65,55,43,37,52,35,26
"p11483",69,69,74,81,63,68,47,39,46,30
"p11484",54,74,85,60,52,61,49,41,30,33
"p11485",63,74,103,71,76,53,41,50,46,38
"p11486",70,93,82,63,61,40,63,42,47,35
"p11487",77,92,63,71,64,57,41,44,45,35
"p11488",47,84,67,72,63,41,57,53,43,43
"p11489",51,75,71,69,53,75,49,48,31,40
"p11490",58,99,66,75,60,44,41,53,39,32
"p11491",49,82,76,54,69,56,49,42,38,29
"p11492",49,76,83,68,63,42,44,50,45,34
"p11493",66,98,66,60,48,62,55,40,33,32
"p11494",78,85,59,65,62,55,66,38,38,34
"p11495",58,92,69,63,58,57,60,43,32,40
"p11496",74,84,64,57,78,44,53,50,36,39
"p11497",64,90,75,72,61,44,56,36,37,32
"p11498",60,75,80,59,76,59,39,41,36,28
"p11499",62,82,73,75,62,64,46,30,44,39
"p11500",71,83,66,57,54,58,57,56,40,45
"p11501",61,81,72,59,52,74,59,50,46,25
"p11502",63,83,73,64,63,60,50,54,49,40
"p11503",61,70,70,74,57,53,50,55,40,31
"p11504",63,78,78,73,58,56,48,57,50,38
"p11505",52,86,74,72,53,54,59,51,41,43
"p11506",54,73,64,60,76,55,44,38,46,31
"p11507",68,78,66,71,53,63,47,58,40,29
"p11508",59,75,71,75,64,55,41,47,39,27
"p11509",47,73,86,74,73,60,45,54,37,33
"p11510",40,82,76,70,62,57,49,39,48,35
"p11511",61,90,78,62,62,43,61,51,40,39
"p11512",68,82,65,59,60,48,47,52,43,30
"p11513",60,79,85,50,64,48,39,39,42,34
"p11514",63,97,80,67,69,63,49,51,38,37
"p11515",73,73,59,57,61,53,57,55,35,29
"p11516",73,85,74,89,61,50,57,41,49,51
"p11517",61,84,78,62,73,52,41,39,45,36
"p11518",63,70,60,64,67,57,48,41,45,41
"p11519",68,98,70,68,44,54,51,44,41,33
"p11520",63,84,70,65,61,50,52,57,45,40
"p11521",68,75,75,61,57,47,52,46,37,33
"p11522",62,85,83,76,48,62,48,46,45,35
"p11523",50,64,74,54,52,50,47,45,25,32
"p11524",53,91,71,61,57,55,58,47,38,47
"p11525",59,84,73,59,55,60,48,46,41,44
"p11526",50,98,70,51,60,61,55,50,35,27
"p11527",69,71,86,60,66,57,47,52,41,40
"p11528",47,73,79,75,57,45,61,41,37,40
"p11529",57,61,75,45,68,43,54,33,39,30
"p11530",62,85,87,74,69,53,53,56,34,42
"p11531",64,78,71,65,63,40,47,45,45,39
"p11532",52,80,60,59,54,54,51,45,30,30
"p11533",37,78,70,70,53,52,45,43,44,36
"p11534",41,85,63,73,57,48,56,45,40,41
"p11535",71,70,71,74,58,55,49,60,46,30
"p11536",67,72,59,65,60,52,54,55,38,33
"p11537",44,71,60,60,61,42,56,41,37,42
"p11538",48,96,67,51,60,46,61,43,42,36
"p11539",61,88,74,64,78,40,55,44,45,36
"p11540",49,78,62,54,67,59,48,49,35,42
"p11541",61,66,72,77,69,59,44,45,24,27
"p11542",48,65,72,68,58,41,64,43,48,40
"p11543",52,68,73,77,55,51,49,45,36,24
"p11544",62,72,76,76,62,66,52,41,36,40
"p11545",55,77,81,66,61,58,57,48,33,37
"p11546",62,71,83,65,65,51,46,44,36,49
"p11547",60,72,67,77,59,72,61,45,40,41
"p11548",62,64,79,60,64,44,58,42,47,27
"p11549",73,88,81,76,52,63,50,62,47,39
"p11550",62,83,80,70,70,65,49,46,28,26
"p11551",55,109,87,62,67,56,38,34,35,40
"p11552",47,84,83,74,60,49,59,42,25,28
"p11553",52,74,76,67,64,51,65,47,43,28
"p11554",60,83,67,66,59,47,46,41,40,35
"p11555",60,70,82,87,66,63,48,50,42,36
"p11556",44,87,84,85,72,48,41,36,34,41
"p11557",58,88,64,57,50,53,59,38,42,36
"p11558",46,65,85,66,58,65,48,35,33,32
"p11559",60,88,65,82,67,44,48,48,47,41
"p11560",69,75,74,82,43,62,53,51,45,35
"p11561",55,89,77,72,58,56,47,51,44,40
"p11562",52,82,67,49,53,58,57,42,46,44
"p11563",85,86,89,59,61,65,63,36,46,47
"p11564",49,95,67,71,71,50,60,38,46,36
"p11565",70,92,62,63,52,43,48,50,44,37
"p11566",53,83,72,60,59,70,55,46,54,24
"p11567",58,66,84,79,58,50,50,49,45,34
"p11568",54,77,75,60,66,53,46,43,38,23
"p11569",62,77,79,78,60,49,41,40,49,32
"p11570",67,80,69,79,60,52,56,42,48,40
"p11571",61,85,70,56,57,49,57,51,40,34
"p11572",63,87,80,70,70,46,49,50,41,44
"p11573",66,68,69,72,55,55,47,54,40,36
"p11574",62,76,79,81,64,60,37,48,39,35
"p11575",52,83,71,66,68,60,48,49,45,41
"p11576",55,83,70,68,48,61,58,46,26,34
"p11577",64,103,60,59,53,51,40,43,47,30
"p11578",53,94,72,90,60,58,62,48,51,33
"p11579",59,88,62,73,54,58,56,60,42,33
"p11580",58,81,80,49,67,62,55,40,46,33
"p11581",41,82,75,66,58,49,51,36,32,34
"p11582",52,95,84,76,59,57,54,61,31,34
"p11583",64,76,77,64,62,63,52,42,40,37
"p11584",60,89,81,76,58,54,55,49,32,30
"p11585",46,77,63,71,64,49,39,44,52,34
"p11586",60,82,69,69,63,69,40,41,59,33
"p11587",50,86,68,77,58,56,46,44,37,26
"p11588",65,83,68,93,60,48,47,36,39,42
"p11589",57,69,71,62,54,47,45,43,42,45
"p11590",49,79,92,75,55,56,43,48,41,31
"p11591",63,96,85,62,65,52,53,53,39,34
"p11592",51,77,80,78,60,64,49,38,34,34
"p11593",62,91,71,68,55,49,65,42,43,41
"p11594",80,75,72,74,61,51,42,43,44,36
"p11595",63,85,75,76,56,59,58,38,38,34
"p11596",52,93,66,53,66,49,66,34,35,48
"p11597",68,89,72,63,55,61,62,52,30,30
"p11598",61,86,73,75,58,48,47,40,32,36
"p11599",63,78,56,67,54,59,48,50,38,39
"p11600",53,88,80,58,62,63,59,51,42,41
"p11601",45,85,70,71,45,75,50,37,36,33
"p11602",59,86,68,65,67,60,49,57,40,29
"p11603",61,89,72,52,47,66,49,51,45,40
"p11604",57,85,73,71,68,50,35,43,41,27
"p11605",55,72,81,71,60,62,54,32,34,36
"p11606",59,72,63,69,57,49,50,39,47,34
"p11607",66,70,77,54,57,53,56,41,37,38
"p11608",63,94,72,59,63,53,42,48,42,31
"p11609",61,86,83,95,62,43,67,52,42,44
"p11610",56,91,80,65,49,55,47,34,36,36
"p11611",41,84,68,58,58,54,61,54,37,40
"p11612",56,93,72,69,64,50,58,41,41,38
"p11613",62,89,64,65,67,43,52,48,50,39
"p11614",68,62,76,75,70,64,49,61,32,43
"p11615",54,61,78,70,66,56,39,48,44,38
"p11616",56,86,91,55,61,58,47,43,33,31
"p11617",59,76,74,58,68,64,46,53,47,43
"p11618",60,70,63,50,53,56,51,48,31,40
"p11619",59,73,77,67,46,63,55,49,35,34
"p11620",62,78,67,68,57,66,40,52,47,51
"p11621",56,76,84,74,56,49,50,51,36,30
"p11622",56,78,72,73,57,59,62,47,53,37
"p11623",67,85,76,67,68,50,51,52,37,37
"p11624",62,88,64,68,72,67,54,46,38,48
"p11625",70,71,87,72,63,65,45,36,36,35
"p11626",60,70,82,74,56,43,51,35,36,32
"p11627",62,85,58,56,58,59,59,42,47,41
"p11628",53,84,76,55,58,58,52,49,41,40
"p11629",56,93,81,65,54,57,46,33,37,40
"p11630",62,99,74,67,66,49,49,44,48,45
"p11631",71,84,75,87,61,60,55,59,39,26
"p11632",66,90,73,77,62,54,49,40,38,31
"p11633",66,63,75,76,55,57,42,42,49,28
"p11634",71,74,66,63,67,59,50,46,42,38
"p11635",48,78,79,63,49,43,38,44,36,46
"p11636",46,84,71,77,72,43,45,48,42,36
"p11637",74,82,79,64,49,63,59,43,46,37
"p11638",46,84,71,80,67,44,37,39,39,43
"p11639",68,81,82,54,57,74,54,37,41,39
"p11640",66,88,69,63,66,62,66,46,56,38
"p11641",59,85,68,78,66,66,50,39,46,27
"p11642",70,72,66,74,66,58,52,36,50,42
"p11643",69,73,82,75,63,56,54,49,35,34
"p11644",47,83,62,69,53,42,57,51,38,31
"p11645",46,82,79,77,58,54,52,47,38,36
"p11646",57,82,86,57,59,60,55,44,42,41
"p11647",48,72,75,61,68,53,36,42,42,43
"p11648",62,68,77,78,61,52,44,40,51,23
"p11649",77,79,71,63,59,73,48,42,35,28
"p11650",53,84,73,62,50,61,59,47,43,26
"p11651",71,86,82,73,75,60,48,35,40,29
"p11652",48,76,68,69,56,71,48,56,47,33
"p11653",58,109,68,66,61,54,52,59,50,42
"p11654",67,82,69,59,55,66,49,34,38,30
"p11655",60,80,73,66,59,50,58,54,47,32
"p11656",62,79,79,64,62,45,59,52,27,38
"p11657",76,85,74,72,66,52,50,54,45,30
"p11658",53,94,61,85,52,50,46,44,38,38
"p11659",70,88,75,62,61,61,40,45,44,36
"p11660",76,57,70,80,47,61,53,37,47,39
"p11661",54,74,88,78,50,60,48,42,38,34
"p11662",55,82,79,60,59,50,51,34,44,43
"p11663",54,96,76,63,51,65,40,46,40,37
"p11664",48,84,72,73,60,59,45,55,45,41
"p11665",44,81,67,65,65,59,53,46,40,27
"p11666",44,82,81,64,73,44,46,41,37,44
"p11667",63,78,78,71,70,56,47,31,41,36
"p11668",57,74,71,71,62,54,47,41,43,46
"p11669",63,88,81,71,64,69,40,39,38,38
"p11670",64,78,59,58,60,54,36,34,50,46
"p11671",60,84,91,52,65,57,47,44,45,33
"p11672",61,86,72,67,47,57,38,45,34,37
"p11673",47,77,65,73,47,65,47,52,48,39
"p11674",48,74,65,68,65,67,70,39,31,42
"p11675",61,73,73,77,58,42,62,40,43,35
"p11676",59,95,76,58,65,48,42,43,44,42
"p11677",62,87,77,72,86,57,52,54,38,35
"p11678",67,80,83,70,75,66,51,47,40,30
"p11679",73,85,70,67,60,47,53,35,43,41
"p11680",55,79,60,65,67,69,57,41,41,33
"p11681",66,82,80,83,68,51,37,51,34,43
"p11682",61,66,91,71,45,57,39,53,46,47
"p11683",55,75,67,70,66,54,44,50,36,38
"p11684",60,90,61,73,66,70,47,50,40,40
"p11685",58,80,71,68,78,59,60,32,39,47
"p11686",68,88,66,65,71,49,32,33,44,40
"p11687",62,97,83,61,58,44,49,52,35,38
"p11688",44,82,82,63,48,58,66,47,38,34
"p11689",46,78,65,70,62,57,47,52,41,42
"p11690",56,82,72,84,66,67,57,37,34,35
"p11691",76,84,67,68,65,48,47,41,37,29
"p11692",59,96,64,54,49,53,54,45,41,40
"p11693",53,76,79,61,68,66,47,45,42,39
"p11694",50,87,70,70,62,46,63,43,39,35
"p11695",62,91,72,73,50,51,39,41,45,37
"p11696",72,62,78,73,44,53,54,47,41,42
"p11697",42,79,62,58,58,62,54,47,27,24
"p11698",52,72,82,85,54,51,56,47,48,32
"p11699",63,69,73,61,54,52,53,50,40,31
"p11700",60,90,77,65,60,51,43,37,51,27
"p11701",69,77,78,54,53,44,49,38,35,22
"p11702",63,86,75,72,70,49,54,47,31,33
"p11703",51,92,72,65,62,40,45,33,42,38
"p11704",50,79,90,52,61,61,50,58,39,50
"p11705",43,77,90,78,60,44,47,45,37,24
"p11706",64,75,82,68,51,56,47,47,48,31
"p11707",58,93,73,49,53,46,47,49,48,35
"p11708",57,88,62,77,70,54,44,37,36,29
"p11709",52,81,73,64,64,28,48,39,49,37
"p11710",61,77,82,64,62,54,53,46,36,47
"p11711",54,80,77,63,61,59,56,37,35,45
"p11712",60,86,71,67,57,60,53,41,39,29
"p11713",60,78,58,75,63,78,51,40,39,44
"p11714",57,89,75,59,63,50,53,40,43,31
"p11715",61,66,78,73,70,58,47,56,27,33
"p11716",60,80,83,74,64,41,47,39,35,36
"p11717",69,88,81,58,73,36,36,45,36,47
"p11718",53,80,70,56,68,65,47,44,38,45
"p11719",74,90,79,71,58,43,48,34,38,34
"p11720",56,92,69,58,60,54,45,40,37,38
"p11721",54,86,80,75,78,54,53,35,44,39
"p11722",66,75,93,63,58,53,53,46,54,32
"p11723",51,77,65,63,61,68,50,38,34,28
"p11724",56,84,72,70,51,55,50,48,33,38
"p11725",76,98,83,69,53,44,47,47,41,37
"p11726",61,98,90,71,65,60,50,45,36,29
"p11727",48,86,64,59,70,60,39,47,44,39
"p11728",63,71,75,65,62,46,47,53,44,36
"p11729",77,82,83,53,62,65,56,47,33,44
"p11730",66,66,75,68,59,52,43,51,39,29
"p11731",58,75,79,77,65,52,48,51,43,33
"p11732",43,80,83,71,51,49,47,43,38,45
"p11733",64,75,85,62,60,64,38,54,47,32
"p11734",62,85,67,70,49,60,59,45,36,42
"p11735",51,98,82,83,59,55,62,46,43,41
"p11736",60,85,94,54,50,55,57,41,31,29
"p11737",57,91,65,53,69,55,42,46,43,35
"p11738",47,84,59,74,54,57,52,48,40,30
"p11739",58,90,78,62,53,66,56,45,32,39
"p11740",65,94,81,73,59,51,45,49,32,31
"p11741",51,93,68,76,53,53,49,51,31,41
"p11742",56,84,62,70,50,52,49,47,35,27
"p11743",55,101,74,63,71,57,53,37,42,43
"p11744",63,83,80,55,52,48,38,34,36,36
"p11745",55,69,78,70,64,61,58,38,40,41
"p11746",52,80,73,65,50,52,47,44,47,42
"p11747",59,79,57,66,67,49,54,53,36,37
"p11748",66,81,79,79,63,47,70,49,38,37
"p11749",45,93,86,77,60,51,48,50,42,29
"p11750",49,68,77,76,75,68,46,40,49,32
"p11751",62,96,78,71,58,55,50,42,52,31
"p11752",50,91,75,70,52,57,54,46,34,35
"p11753",56,82,64,72,61,51,47,40,28,34
"p11754",70,78,74,78,61,49,57,32,45,48
"p11755",60,81,61,73,59,68,59,47,40,35
"p11756",70,82,71,68,67,54,52,48,45,38
"p11757",72,74,89,64,52,56,57,51,43,37
"p11758",56,85,77,79,51,63,51,42,34,36
"p11759",68,93,68,67,59,46,41,43,44,31
"p11760",60,96,78,77,56,43,33,51,35,31
"p11761",60,89,69,74,58,55,58,44,40,30
"p11762",68,96,82,70,43,56,52,51,42,40
"p11763",59,75,84,71,58,52,42,42,46,30
"p11764",57,82,66,59,58,47,46,48,48,38
"p11765",60,90,67,69,66,54,44,46,32,35
"p11766",55,66,76,47,62,49,48,52,45,44
"p11767",61,70,90,61,53,50,40,43,32,33
"p11768",52,73,72,60,60,67,55,43,46,46
"p11769",73,88,66,86,56,59,47,52,47,38
"p11770",70,90,84,67,56,48,41,48,38,45
"p11771",62,82,60,67,64,63,39,42,37,30
"p11772",50,84,72,66,72,58,45,48,39,38
"p11773",72,84,67,67,60,42,48,34,45,32
"p11774",67,110,86,62,47,43,54,36,42,28
"p11775",69,99,82,56,51,46,56,42,55,27
"p11776",68,98,86,60,66,52,54,40,40,50
"p11777",60,81,74,61,48,59,43,54,39,39
"p11778",61,89,72,56,63,57,39,42,49,39
"p11779",70,90,75,62,62,42,44,60,46,38
"p11780",50,99,91,62,60,61,37,35,39,47
"p11781",60,92,91,58,65,45,43,56,44,32
"p11782",86,80,75,68,63,65,51,44,40,35
"p11783",61,87,77,69,63,54,51,34,41,41
"p11784",65,73,73,62,61,50,48,45,37,31
"p11785",69,74,64,65,69,49,54,29,33,39
"p11786",66,74,76,64,74,61,50,46,42,33
"p11787",48,77,71,49,65,63,53,61,40,33
"p11788",60,99,75,77,59,56,49,33,34,34
"p11789",55,79,66,63,58,69,47,46,33,40
"p11790",53,76,90,70,49,52,49,38,50,38
"p11791",64,66,74,64,60,59,50,56,47,37
"p11792",56,79,86,61,58,49,47,44,42,37
"p11793",55,91,78,58,62,57,46,37,40,35
"p11794",68,88,70,55,57,44,37,33,44,41
"p11795",54,82,81,62,64,63,55,52,27,37
"p11796",62,96,79,46,69,45,53,54,39,37
"p11797",63,91,57,72,61,59,44,51,50,32
"p11798",64,89,87,59,64,50,47,54,38,43
"p11799",71,73,65,59,74,52,57,39,42,27
"p11800",72,89,63,71,73,63,59,45,45,40
"p11801",57,68,89,73,63,69,44,33,46,34
"p11802",56,101,83,73,58,49,42,43,30,38
"p11803",49,91,66,69,66,61,46,46,36,40
"p11804",69,69,77,62,52,52,47,50,47,34
"p11805",52,83,64,73,61,52,45,49,52,35
"p11806",57,75,66,64,45,45,47,43,44,27
"p11807",81,75,82,73,65,76,46,35,36,31
"p11808",49,94,78,62,53,49,50,53,39,31
"p11809",53,74,66,70,66,67,53,46,38,20
"p11810",67,76,70,58,52,59,52,41,47,43
"p11811",61,77,82,59,70,42,55,46,45,33
"p11812",58,98,80,64,76,58,47,46,47,42
"p11813",57,92,66,70,55,40,53,48,50,40
"p11814",72,90,75,67,59,57,65,48,34,40
"p11815",58,81,82,50,65,47,51,40,32,33
"p11816",56,65,76,69,51,45,43,57,40,42
"p11817",67,78,71,62,59,57,42,54,39,42
"p11818",74,86,85,65,48,44,50,34,41,37
"p11819",60,94,77,70,57,46,66,48,36,40
"p11820",56,89,84,65,59,54,43,42,39,37
"p11821",68,82,77,68,66,40,44,40,44,48
"p11822",64,72,87,65,81,53,50,46,36,22
"p11823",54,80,78,69,54,51,51,44,34,32
"p11824",61,93,66,82,69,44,67,44,34,44
"p11825",62,88,88,49,57,53,46,50,45,39
"p11826",72,80,67,73,59,67,55,50,50,48
"p11827",58,90,72,72,58,75,58,38,36,35
"p11828",67,75,85,67,71,69,45,59,45,43
"p11829",57,83,87,78,70,65,47,35,36,33
"p11830",56,91,67,66,59,44,38,53,41,35
"p11831",65,84,73,63,58,44,45,46,52,31
"p11832",61,69,77,76,53,46,61,46,34,34
"p11833",46,87,90,78,61,55,54,48,48,35
"p11834",69,99,68,89,70,60,54,46,33,35
"p11835",58,70,80,67,60,66,47,52,33,36
"p11836",65,79,84,82,73,63,55,40,45,30
"p11837",59,74,72,71,59,57,60,51,43,32
"p11838",66,86,69,72,65,68,43,33,44,39
"p11839",64,86,65,60,54,56,50,50,37,36
"p11840",64,85,73,54,84,54,66,42,38,36
"p11841",59,73,75,61,71,51,71,33,39,37
"p11842",57,84,70,77,61,46,48,43,29,44
"p11843",62,72,81,69,56,53,45,42,35,35
"p11844",65,73,60,68,64,50,60,53,38,27
"p11845",55,80,66,65,66,52,38,38,44,36
"p11846",74,81,78,66,60,45,48,41,43,39
"p11847",56,90,69,59,55,56,36,68,39,28
"p11848",69,68,98,63,53,73,45,39,34,29
"p11849",51,87,78,49,54,69,44,56,37,46
"p11850",41,83,75,64,65,67,53,38,39,34
"p11851",64,70,81,57,57,57,46,47,37,46
"p11852",56,102,67,67,69,45,64,45,39,42
"p11853",58,78,67,77,59,53,44,54,34,39
"p11854",56,78,72,64,49,48,53,51,51,34
"p11855",54,91,80,58,61,47,44,47,39,40
"p11856",50,74,75,51,54,62,64,43,40,42
"p11857",79,80,83,56,56,64,59,48,42,42
"p11858",59,79,84,69,65,44,53,46,47,38
"p11859",62,92,80,62,45,56,53,41,41,39
"p11860",47,77,72,87,67,64,42,37,31,30
"p11861",65,75,74,61,58,46,39,41,37,37
"p11862",57,66,70,61,68,49,54,58,37,26
"p11863",52,80,83,56,51,56,50,47,58,38
"p11864",76,93,75,69,67,40,48,45,57,37
"p11865",69,89,80,66,68,51,61,46,44,41
"p11866",60,91,74,78,64,54,51,46,38,37
"p11867",69,72,80,67,71,52,45,54,40,39
"p11868",43,84,71,62,61,58,49,40,40,38
"p11869",59,77,72,71,69,56,53,50,38,40
"p11870",51,78,72,72,65,52,48,53,42,32
"p11871",57,82,85,64,60,46,48,55,36,28
"p11872",62,77,68,87,65,58,39,53,41,38
"p11873",57,88,69,88,60,70,50,52,34,41
"p11874",65,82,82,76,64,59,53,51,44,42
"p11875",59,83,86,62,58,46,50,48,36,35
"p11876",56,72,72,84,51,63,49,45,41,47
"p11877",87,85,81,83,54,46,56,38,42,39
"p11878",56,80,78,65,55,58,44,43,40,38
"p11879",63,84,59,66,56,52,39,49,31,29
"p11880",62,79,77,69,62,65,47,27,31,45
"p11881",49,70,84,64,50,56,46,48,42,36
"p11882",74,80,70,61,71,60,47,52,53,31
"p11883",49,78,76,84,65,64,47,44,41,48
"p11884",73,80,76,77,71,53,49,49,44,31
"p11885",56,78,81,68,60,58,51,39,30,36
"p11886",51,83,68,63,56,49,46,54,49,44
"p11887",65,78,58,65,67,58,41,48,41,36
"p11888",49,91,64,72,59,46,46,34,46,42
"p11889",50,81,67,74,74,53,65,45,41,36
"p11890",58,84,73,60,64,65,65,53,39,27
"p11891",55,76,64,69,61,49,68,58,40,25
"p11892",41,96,70,67,62,43,46,55,38,35
"p11893",47,67,63,69,65,38,51,42,40,36
"p11894",67,75,82,67,60,58,60,54,32,30
"p11895",67,72,86,57,61,66,56,56,38,36
"p11896",62,74,73,75,48,48,49,50,45,50
"p11897",55,82,73,59,58,55,53,43,44,52
"p11898",66,87,99,73,54,61,52,53,37,46
"p11899",66,75,67,68,68,60,41,43,42,38
"p11900",71,89,77,64,56,58,42,45,38,42
"p11901",64,85,82,76,66,52,48,24,39,39
"p11902",59,71,74,63,69,52,54,53,46,47
"p11903",46,77,73,70,53,60,55,52,50,38
"p11904",45,85,81,55,62,64,52,50,42,38
"p11905",62,82,74,57,57,52,53,43,47,37
"p11906",60,93,59,59,58,60,57,45,25,49
"p11907",55,79,82,69,60,64,51,49,34,36
"p11908",61,92,80,74,72,47,43,51,44,43
"p11909",48,86,82,70,78,56,34,53,47,36
"p11910",60,78,70,78,64,44,44,29,36,29
"p11911",61,88,84,61,60,57,47,38,40,32
"p11912",65,82,75,73,65,57,56,37,36,33
"p11913",60,81,85,79,58,44,54,38,34,36
"p11914",55,95,72,63,66,60,36,53,42,38
"p11915",48,75,65,71,80,49,59,44,29,37
"p11916",61,72,75,82,58,51,40,41,33,34
"p11917",68,76,86,64,71,64,52,39,51,47
"p11918",59,92,83,75,59,59,41,25,41,39
"p11919",59,86,78,63,66,45,41,42,44,34
"p11920",76,80,75,63,68,62,62,52,45,39
"p11921",59,86,80,60,67,41,48,59,38,41
"p11922",58,73,67,61,68,66,58,41,39,32
"p11923",48,79,72,65,52,62,54,41,37,40
"p11924",58,85,67,63,65,68,37,45,38,50
"p11925",60,90,79,76,51,49,46,54,46,41
"p11926",62,79,79,73,49,54,60,36,51,46
"p11927",68,83,89,65,66,65,64,42,36,33
"p11928",71,83,79,68,48,68,46,40,48,27
"p11929",75,76,78,65,47,55,54,47,38,38
"p11930",57,75,86,75,71,47,55,39,34,34
"p11931",55,85,75,55,56,46,58,56,52,38
"p11932",62,87,73,73,54,43,46,34,47,33
"p11933",62,89,78,75,75,50,49,50,31,39
"p11934",54,77,51,65,61,58,56,55,53,45
"p11935",67,83,69,64,54,55,50,39,36,33
"p11936",50,79,80,73,69,53,45,52,36,29
"p11937",57,81,69,82,58,65,55,46,57,52
"p11938",62,90,58,56,54,55,55,27,51,37
"p11939",57,80,60,55,64,56,56,43,49,24
"p11940",78,83,68,68,72,49,49,41,37,33
"p11941",73,83,81,66,73,56,50,46,42,37
"p11942",67,89,66,75,64,47,70,41,41,29
"p11943",56,72,68,74,70,38,47,31,53,45
"p11944",67,66,72,82,83,57,61,45,34,35
